method	threshold	criterium	samples	counts
MaxPrec4	1	PSMs	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[463384, 174273, 330128, 369025, 574663, 109537, 190399, 379240]
first	1	PSMs	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[145090, 56637, 109406, 112149, 167585, 31512, 67111, 130419]
MaxPrec1	1	PSMs	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[276705, 106318, 203687, 210444, 324674, 60485, 118298, 242307]
MaxPrec2	1	PSMs	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[374556, 140226, 268373, 283595, 439699, 81920, 154658, 314364]
MaxPrec3	1	PSMs	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[439981, 162740, 310085, 339773, 528129, 98190, 178658, 358454]
MaxPrec5	1	PSMs	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[466666, 179969, 339248, 379624, 592000, 117380, 195113, 388168]
