,is_decoy,score
0,True,6.877990192451171
3,True,8.398040377919811
5,False,9.720042110717207
9,False,7.23258309974736
10,True,8.364303750733766
12,False,35.7104694242243
18,True,8.511969981305072
26,False,4.23933830781433
21,False,16.060012536856682
30,True,15.553332734617468
29,False,11.5469348746102
34,False,13.769507999862164
38,False,9.611548349746911
39,False,13.546755151863705
42,True,5.070310897201296
47,True,12.46315895868706
48,False,14.237561919350044
51,True,6.209378711897051
52,False,14.748209435835914
61,True,5.553959476794894
60,True,15.81526639812687
65,True,18.986409490518717
66,True,18.19584714327903
70,False,12.43118263766628
73,True,10.767123359899438
75,False,6.005446847677618
76,True,5.46644595744694
77,False,14.636509760313988
78,False,14.524381725552413
94,False,10.932128666713856
90,False,41.72038726504836
106,True,9.56531231962886
108,False,14.531897368904849
110,False,13.78380309200361
117,True,11.573499374582385
118,False,16.32100461606334
123,True,11.283330885167103
127,False,15.92126718171916
129,False,14.411468061912297
130,False,22.40973833561963
132,True,13.664558724819887
163,True,60.394174530011455
172,True,25.30196134852374
133,False,36.28701916290568
192,False,13.436954934278074
194,False,12.019992064476346
199,True,11.651996445830788
203,False,32.649840686270394
202,False,33.125530765889536
217,True,26.761903682576538
225,False,12.391618510055544
229,False,11.49424460221162
238,True,41.69470012957463
267,True,23.323487273878143
268,True,20.683831738189
257,False,20.78304235428258
281,True,15.607204368396276
278,True,42.95169514249828
280,True,23.715333002373903
284,False,65.90052258248498
289,False,40.18448621972968
299,True,40.18448621972968
298,True,44.50482437537322
315,True,17.996395252587696
307,False,18.533866868906696
317,False,40.92408602470978
460,True,14.153948984011835
403,True,21.421286106784407
475,True,46.47083943125211
479,True,22.369863362167557
486,True,17.91478254822867
579,True,15.531152884371837
578,True,15.531152884371837
656,False,16.017069467127513
671,True,7.862702698216073
666,True,12.618258877551638
687,True,8.063118674866438
688,True,7.989477263920008
678,False,12.543865044329763
692,True,6.20054584977328
693,False,11.039798459637543
708,True,10.351981412398665
722,True,8.39153657912545
732,True,30.369804525778225
731,True,33.8922749669475
725,False,20.30527578587471
742,True,17.145530473722285
740,False,6.11158183928705
746,False,48.20555846410266
747,False,41.74018112436936
752,True,71.65467011935655
769,True,3.053185576327093
784,True,21.513021740679555
782,False,15.71691031040234
774,False,60.083474636111546
803,True,11.863533120084584
794,False,64.70728983210414
795,False,12.83103877510267
813,False,3.7573314923817818
807,False,15.046482875068715
