,is_decoy,score
0,True,6.877990192451171
3,True,8.398040377919811
5,False,9.720042110717207
9,True,8.364303750733766
11,False,35.7104694242243
17,True,8.511969981305072
20,False,16.060012536856682
26,True,15.553332734617468
30,False,13.769507999862164
34,False,9.611548349746911
35,False,13.546755151863705
42,True,12.46315895868706
43,False,14.237561919350044
46,True,6.209378711897051
47,False,14.748209435835914
53,True,15.81526639812687
54,True,18.986409490518717
55,False,12.43118263766628
58,True,10.767123359899438
60,False,6.005446847677618
61,False,14.636509760313988
67,False,41.72038726504836
78,True,9.56531231962886
80,False,14.531897368904849
85,True,11.573499374582385
86,False,16.32100461606334
91,True,11.283330885167103
95,False,15.92126718171916
97,False,14.411468061912297
98,False,22.40973833561963
100,True,13.664558724819887
105,True,60.394174530011455
101,False,36.28701916290568
109,False,13.436954934278074
111,False,12.019992064476346
116,True,11.651996445830788
120,False,32.649840686270394
119,False,33.125530765889536
135,False,12.391618510055544
143,True,41.69470012957463
162,True,23.323487273878143
163,True,20.683831738189
172,True,42.95169514249828
174,True,23.715333002373903
177,False,65.90052258248498
185,True,44.50482437537322
195,True,17.996395252587696
187,False,18.533866868906696
197,False,40.92408602470978
307,True,14.153948984011835
320,True,46.47083943125211
322,True,22.369863362167557
422,True,15.531152884371837
421,True,15.531152884371837
499,False,16.017069467127513
508,True,12.618258877551638
524,True,8.063118674866438
519,False,12.543865044329763
527,True,6.20054584977328
528,False,11.039798459637543
543,True,8.39153657912545
552,True,30.369804525778225
551,True,33.8922749669475
560,True,17.145530473722285
558,False,6.11158183928705
564,False,48.20555846410266
567,True,71.65467011935655
576,True,3.053185576327093
589,True,21.513021740679555
581,False,60.083474636111546
595,False,64.70728983210414
596,False,12.83103877510267
606,False,15.046482875068715
614,True,8.831710254958887
616,False,31.062317025446085
626,False,9.441535894706355
622,False,23.624561754036737
635,True,35.519501090774654
638,True,31.900858001352503
644,False,34.77660269603741
645,False,34.267715981170085
657,False,9.983084406686697
660,True,15.147934761187203
673,True,5.214360857866693
665,False,10.532359545086951
676,True,17.073115228830353
677,False,2.354623495289376
678,True,8.07212995581871
692,True,5.706180861007858
686,False,10.860859968829171
696,False,40.33421196828306
706,True,9.284918521785189
714,False,15.756027258903265
715,False,14.633773968726109
717,False,7.978896185196394
720,True,10.455045835217213
732,True,121.15461221816012
729,False,60.817980239580166
735,False,36.02427332628314
743,True,12.191762642517732
